ts,alt,lat,lng,pitch,roll,yaw,accel
0.0,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.2,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.4,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.6,0.8,34.4258004,127.5211006,-1.09,-1.35,0.14,43.101
0.8,4.66,34.4258011,127.5211018,-0.79,0.13,-0.76,45.602
1.0,10.54,34.4258018,127.521103,0.82,1.44,-0.96,46.739
1.2,18.06,34.4258025,127.5211042,1.07,0.91,-0.28,47.168
1.4,27.0,34.4258032,127.5211054,-0.46,-0.78,0.66,49.282
1.6,37.22,34.425804,127.5211066,-1.22,-1.48,0.99,51.339
1.8,48.63,34.4258047,127.5211078,0.04,-0.29,0.41,51.737
2.0,61.14,34.4258054,127.521109,1.24,1.27,-0.54,52.946
2.2,74.7,34.4258061,127.5211102,0.38,1.21,-1.0,55.445
2.4,89.25,34.4258068,127.5211114,-1.11,-0.39,-0.54,56.547
2.6,102.01,34.4258092,127.5211153,-0.47,1.37,-0.59,-10.059
2.8,114.64,34.4258116,127.5211193,-0.07,1.67,-0.5,-10.043
3.0,127.22,34.425814,127.5211233,0.4,1.76,-0.31,-9.789
3.2,139.74,34.4258164,127.5211273,0.91,1.71,-0.05,-9.406
3.4,152.18,34.4258188,127.5211313,1.4,1.63,0.28,-9.078
3.6,164.52,34.4258212,127.5211353,1.83,1.61,0.65,-8.959
3.8,176.73,34.4258236,127.5211393,2.17,1.75,1.03,-9.075
4.0,188.8,34.425826,127.5211433,2.39,2.11,1.4,-9.308
4.2,200.7,34.4258284,127.5211473,2.5,2.69,1.73,-9.472
4.4,212.42,34.4258308,127.5211513,2.51,3.45,1.99,-9.42
4.6,223.93,34.4258332,127.5211553,2.44,4.31,2.17,-9.138
4.8,235.23,34.4258356,127.5211593,2.35,5.16,2.27,-8.75
5.0,246.28,34.425838,127.5211633,2.28,5.89,2.28,-8.446
5.2,257.07,34.4258404,127.5211673,2.28,6.43,2.23,-8.363
5.4,267.58,34.4258428,127.5211713,2.37,6.75,2.12,-8.506
5.6,277.79,34.4258452,127.5211753,2.58,6.86,2.0,-8.741
5.8,287.7,34.4258476,127.5211793,2.9,6.82,1.89,-8.88
6.0,297.27,34.42585,127.5211833,3.33,6.73,1.81,-8.792
6.2,306.5,34.4258524,127.5211873,3.81,6.71,1.79,-8.484
6.4,315.37,34.4258548,127.5211913,4.32,6.83,1.85,-8.096
6.6,323.87,34.4258572,127.5211953,4.8,7.17,1.99,-7.818
6.8,331.97,34.4258596,127.5211993,5.21,7.73,2.22,-7.772
7.0,339.68,34.425862,127.5212033,5.51,8.48,2.52,-7.939
7.2,346.96,34.4258644,127.5212073,5.7,9.33,2.87,-8.172
7.4,353.82,34.4258668,127.5212113,5.78,10.18,3.25,-8.283
7.6,360.24,34.4258692,127.5212153,5.76,10.93,3.63,-8.158
7.8,366.21,34.4258716,127.5212193,5.68,11.49,3.98,-7.828
8.0,371.72,34.425874,127.5212233,5.59,11.83,4.27,-7.445
8.2,376.76,34.4258764,127.5212273,5.54,11.95,4.5,-7.196
8.4,381.33,34.4258788,127.5212313,5.56,11.93,4.63,-7.186
8.6,385.41,34.4258812,127.5212353,5.68,11.84,4.68,-7.374
8.8,389.0,34.4258836,127.5212393,5.93,11.8,4.66,-7.6
9.0,392.09,34.425886,127.5212433,6.28,11.91,4.58,-7.681
9.2,394.67,34.4258884,127.5212473,6.73,12.23,4.46,-7.521
9.4,396.75,34.4258908,127.5212513,7.23,12.77,4.34,-7.171
9.6,398.32,34.4258932,127.5212553,7.73,13.51,4.24,-6.797
9.8,399.38,34.4258956,127.5212593,8.19,14.35,4.19,-6.579
10.0,399.92,34.425898,127.5212633,8.57,15.21,4.21,-6.604
10.2,399.61,34.4258998,127.5212664,6.57,9.68,-0.2,-9.678
10.4,398.74,34.425901,127.5212684,21.84,21.59,4.96,-10.56
10.6,397.87,34.4259022,127.5212704,24.98,28.62,11.19,-8.801
10.8,397.0,34.4259034,127.5212724,19.02,33.14,15.64,-10.514
11.0,396.13,34.4259046,127.5212744,10.44,43.7,17.75,-9.747
11.2,394.47,34.4259058,127.5212764,-0.23,-0.67,-0.25,-2.296
11.4,390.99,34.425907,127.5212784,1.68,-0.57,-0.08,-2.413
11.6,387.5,34.4259082,127.5212804,3.15,0.01,0.2,-2.56
11.8,384.02,34.4259094,127.5212824,3.66,1.09,0.62,-2.687
12.0,380.53,34.4259106,127.5212844,3.51,2.51,1.18,-2.748
12.2,377.05,34.4259118,127.5212864,3.53,3.97,1.86,-2.723
12.4,373.56,34.425913,127.5212884,4.34,5.18,2.62,-2.62
12.6,370.08,34.4259142,127.5212904,5.69,5.9,3.4,-2.475
12.8,366.59,34.4259154,127.5212924,6.74,6.08,4.14,-2.339
13.0,363.11,34.4259166,127.5212944,6.81,5.82,4.77,-2.259
13.2,359.62,34.4259178,127.5212964,5.96,5.38,5.24,-2.263
13.4,356.14,34.425919,127.5212984,4.98,5.08,5.52,-2.351
13.6,352.65,34.4259202,127.5213004,4.63,5.16,5.59,-2.49
13.8,349.17,34.4259214,127.5213024,4.98,5.72,5.48,-2.633
14.0,345.68,34.4259226,127.5213044,5.3,6.68,5.22,-2.729
14.2,342.2,34.4259238,127.5213064,4.79,7.8,4.87,-2.746
