ts,alt,lat,lng,pitch,roll,yaw,accel
0.0,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.2,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.4,0.0,34.4258,127.5211,0.0,0.0,0.0,0.0
0.6,0.8,34.4258004,127.5211006,-1.09,-1.35,0.14,43.101
0.8,4.66,34.4258011,127.5211018,-0.79,0.13,-0.76,45.602
1.0,10.54,34.4258018,127.521103,0.82,1.44,-0.96,46.739
1.2,18.06,34.4258025,127.5211042,1.07,0.91,-0.28,47.168
1.4,27.0,34.4258032,127.5211054,-0.46,-0.78,0.66,49.282
1.6,37.22,34.425804,127.5211066,-1.22,-1.48,0.99,51.339
1.8,48.63,34.4258047,127.5211078,0.04,-0.29,0.41,51.737
2.0,61.14,34.4258054,127.521109,1.24,1.27,-0.54,52.946
2.2,74.7,34.4258061,127.5211102,0.38,1.21,-1.0,55.445
2.4,89.25,34.4258068,127.5211114,-1.11,-0.39,-0.54,56.547
2.6,102.01,34.4258092,127.5211153,-0.47,1.37,-0.59,-10.059
2.8,114.64,34.4258116,127.5211193,-0.07,1.67,-0.5,-10.043
3.0,127.22,34.425814,127.5211233,0.4,1.76,-0.31,-9.789
3.2,139.74,34.4258164,127.5211273,0.91,1.71,-0.05,-9.406
3.4,152.18,34.4258188,127.5211313,1.4,1.63,0.28,-9.078
3.6,164.52,34.4258212,127.5211353,1.83,1.61,0.65,-8.959
3.8,176.73,34.4258236,127.5211393,2.17,1.75,1.03,-9.075
4.0,188.8,34.425826,127.5211433,2.39,2.11,1.4,-9.308
4.2,200.7,34.4258284,127.5211473,2.5,2.69,1.73,-9.472
4.4,212.42,34.4258308,127.5211513,2.51,3.45,1.99,-9.42
4.6,223.93,34.4258332,127.5211553,2.44,4.31,2.17,-9.138
4.8,235.23,34.4258356,127.5211593,2.35,5.16,2.27,-8.75
5.0,246.28,34.425838,127.5211633,2.28,5.89,2.28,-8.446
5.2,257.07,34.4258404,127.5211673,2.28,6.43,2.23,-8.363
5.4,267.58,34.4258428,127.5211713,2.37,6.75,2.12,-8.506
5.6,277.79,34.4258452,127.5211753,2.58,6.86,2.0,-8.741
5.8,287.7,34.4258476,127.5211793,2.9,6.82,1.89,-8.88
6.0,297.27,34.42585,127.5211833,3.33,6.73,1.81,-8.792
6.2,306.5,34.4258524,127.5211873,3.81,6.71,1.79,-8.484
6.4,315.37,34.4258548,127.5211913,4.32,6.83,1.85,-8.096
6.6,323.87,34.4258572,127.5211953,4.8,7.17,1.99,-7.818
6.8,331.97,34.4258596,127.5211993,5.21,7.73,2.22,-7.772
7.0,339.68,34.425862,127.5212033,5.51,8.48,2.52,-7.939
7.2,346.96,34.4258644,127.5212073,5.7,9.33,2.87,-8.172
7.4,353.82,34.4258668,127.5212113,5.78,10.18,3.25,-8.283
7.6,360.24,34.4258692,127.5212153,5.76,10.93,3.63,-8.158
7.8,366.21,34.4258716,127.5212193,5.68,11.49,3.98,-7.828
8.0,371.72,34.425874,127.5212233,5.59,11.83,4.27,-7.445
8.2,376.76,34.4258764,127.5212273,5.54,11.95,4.5,-7.196
8.4,381.33,34.4258788,127.5212313,5.56,11.93,4.63,-7.186
8.6,385.41,34.4258812,127.5212353,5.68,11.84,4.68,-7.374
8.8,389.0,34.4258836,127.5212393,5.93,11.8,4.66,-7.6
9.0,392.09,34.425886,127.5212433,6.28,11.91,4.58,-7.681
9.2,394.67,34.4258884,127.5212473,6.73,12.23,4.46,-7.521
9.4,396.75,34.4258908,127.5212513,7.23,12.77,4.34,-7.171
9.6,398.32,34.4258932,127.5212553,7.73,13.51,4.24,-6.797
9.8,399.38,34.4258956,127.5212593,8.19,14.35,4.19,-6.579
10.0,399.92,34.425898,127.5212633,8.57,15.21,4.21,-6.604
10.2,399.61,34.4258998,127.5212664,6.57,9.68,-0.2,-9.678
10.4,398.74,34.425901,127.5212684,21.84,21.59,4.96,-10.56
10.6,397.87,34.4259022,127.5212704,24.98,28.62,11.19,-8.801
10.8,397.0,34.4259034,127.5212724,19.02,33.14,15.64,-10.514
11.0,396.13,34.4259046,127.5212744,10.44,43.7,17.75,-9.747
11.2,394.47,34.4259058,127.5212764,-0.23,-0.67,-0.25,-2.296
11.4,390.99,34.425907,127.5212784,1.68,-0.57,-0.08,-2.413
11.6,387.5,34.4259082,127.5212804,3.15,0.01,0.2,-2.56
11.8,384.02,34.4259094,127.5212824,3.66,1.09,0.62,-2.687
12.0,380.53,34.4259106,127.5212844,3.51,2.51,1.18,-2.748
12.2,377.05,34.4259118,127.5212864,3.53,3.97,1.86,-2.723
12.4,373.56,34.425913,127.5212884,4.34,5.18,2.62,-2.62
12.6,370.08,34.4259142,127.5212904,5.69,5.9,3.4,-2.475
12.8,366.59,34.4259154,127.5212924,6.74,6.08,4.14,-2.339
13.0,363.11,34.4259166,127.5212944,6.81,5.82,4.77,-2.259
13.2,359.62,34.4259178,127.5212964,5.96,5.38,5.24,-2.263
13.4,356.14,34.425919,127.5212984,4.98,5.08,5.52,-2.351
13.6,352.65,34.4259202,127.5213004,4.63,5.16,5.59,-2.49
13.8,349.17,34.4259214,127.5213024,4.98,5.72,5.48,-2.633
14.0,345.68,34.4259226,127.5213044,5.3,6.68,5.22,-2.729
14.2,342.2,34.4259238,127.5213064,4.79,7.8,4.87,-2.746
14.4,338.71,34.425925,127.5213084,3.31,8.78,4.49,-2.676
14.6,335.23,34.4259262,127.5213104,1.51,9.34,4.14,-2.545
14.8,331.74,34.4259274,127.5213124,0.29,9.33,3.86,-2.399
15.0,328.26,34.4259286,127.5213144,-0.07,8.79,3.69,-2.287
15.2,324.77,34.4259298,127.5213164,-0.07,7.92,3.63,-2.25
15.4,321.29,34.425931,127.5213184,-0.58,7.03,3.66,-2.301
15.6,317.8,34.4259322,127.5213204,-1.97,6.4,3.74,-2.42
15.8,314.32,34.4259334,127.5213224,-3.76,6.22,3.81,-2.568
16.0,310.83,34.4259346,127.5213244,-5.07,6.49,3.82,-2.692
16.2,307.35,34.4259358,127.5213264,-5.35,7.05,3.7,-2.749
16.4,303.86,34.425937,127.5213284,-4.94,7.62,3.43,-2.719
16.6,300.38,34.4259382,127.5213304,-4.68,7.88,2.98,-2.612
16.8,296.89,34.4259394,127.5213324,-5.17,7.64,2.35,-2.466
17.0,293.41,34.4259406,127.5213344,-6.17,6.84,1.58,-2.332
17.2,289.92,34.4259418,127.5213364,-6.87,5.61,0.71,-2.257
17.4,286.44,34.425943,127.5213384,-6.56,4.23,-0.18,-2.266
17.6,282.95,34.4259442,127.5213404,-5.35,3.0,-1.04,-2.357
17.8,279.47,34.4259454,127.5213424,-4.04,2.18,-1.8,-2.498
18.0,275.98,34.4259466,127.5213444,-3.39,1.85,-2.41,-2.64
18.2,272.5,34.4259478,127.5213464,-3.45,1.94,-2.86,-2.732
18.4,269.01,34.425949,127.5213484,-3.52,2.21,-3.13,-2.744
18.6,265.53,34.4259502,127.5213504,-2.81,2.35,-3.25,-2.67
18.8,262.04,34.4259514,127.5213524,-1.17,2.1,-3.28,-2.537
19.0,258.56,34.4259526,127.5213544,0.71,1.33,-3.25,-2.391
19.2,255.07,34.4259538,127.5213564,1.97,0.09,-3.24,-2.283
19.4,251.59,34.425955,127.5213584,2.29,-1.41,-3.28,-2.251
19.6,248.1,34.4259562,127.5213604,2.22,-2.86,-3.43,-2.306
19.8,244.62,34.4259574,127.5213624,2.61,-3.97,-3.69,-2.428
20.0,241.13,34.4259586,127.5213644,3.82,-4.56,-4.06,-2.576
20.2,237.65,34.4259598,127.5213664,5.38,-4.63,-4.49,-2.697
20.4,234.16,34.425961,127.5213684,6.41,-4.36,-4.94,-2.75
20.6,230.68,34.4259622,127.5213704,6.38,-4.02,-5.35,-2.715
20.8,227.19,34.4259634,127.5213724,5.63,-3.93,-5.65,-2.605
21.0,223.71,34.4259646,127.5213744,5.03,-4.27,-5.8,-2.458
21.2,220.22,34.4259658,127.5213764,5.16,-5.1,-5.75,-2.326
21.4,216.74,34.425967,127.5213784,5.81,-6.26,-5.5,-2.255
